index,q_full,q_index,item_text,index_item2
1,Svörunar.ID,Svörunar.ID,Svörunar ID,svarID
2,Dagsetning.sendingar,Dagsetning.sendingar,Dagsetning sendingar,dagsetning
3,Síðasta.síða,Síðasta.síða,lastPage,lastPage
4,Ræsa.tungumál,Ræsa.tungumál,Ræsa tungumál,tungumal
5,Seed,Seed,Seed,seed
6,IP.vistfang,IP.vistfang,IP vistfang,Ipvistfang
7,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Fjármögnun.,X1,Fjármögnun,X1Fjármögnun
8,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Umhverfis..og.loftslagsmál.,X1,Umhverfis og loftslagsmál,X1Umhverfis og loftslagsmál
9,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Jafnréttismál.,X1,Jafnréttismál,X1Jafnréttismál
10,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Niðurskurður.opinberra.aðila.,X1,Niðurskurður opinberra aðila,X1Niðurskurður opinberra aðila
11,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Aðgengi.innflytjenda..,X1,Aðgengi innflytjenda,X1Aðgengi innflytjenda
12,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Óstöðugleiki.í.efnahagsmálum.almennt..,X1,Óstöðugleiki í efnahagsmálum almennt,X1Óstöðugleiki í efnahagsmálum almennt
13,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Inngilding.jaðarsettra.hópa..,X1,Inngilding jaðarsettra hópa,X1Inngilding jaðarsettra hópa
14,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Margbreytileiki.í.starfsmannahópi..,X1,Margbreytileiki í starfsmannahópi,X1Margbreytileiki í starfsmannahópi
15,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Samkeppni.við.aðra.afþreyingu..,X1,Samkeppni við aðra afþreyingu,X1Samkeppni við aðra afþreyingu
16,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Fámennið.á.Íslandi..,X1,Fámennið á Íslandi,X1Fámennið á Íslandi
17,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Gervigreind.,X1,Gervigreind,X1Gervigreind
18,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Skortur.á.samvinnu.við.aðrar.stofnanir...fyrirtæki.innan.menningargeirans..,X1,Skortur á samvinnu við aðrar stofnanir fyrirtæki innan menningargeirans,X1Skortur á samvinnu við aðrar stofnanir fyrirtæki innan menningargeirans
19,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Skortur.á.samvinnu.við.aðrar.stofnanir...fyrirtæki.í.öðrum.geirum..,X1,Skortur á samvinnu við aðrar stofnanir fyrirtæki í öðrum geirum,X1Skortur á samvinnu við aðrar stofnanir fyrirtæki í öðrum geirum
20,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Margbreytileiki.í.hópi.stjórnenda..,X1,Margbreytileiki í hópi stjórnenda,X1Margbreytileiki í hópi stjórnenda
21,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Margbreytileiki.í.starfsmannahópi.,X1,Margbreytileiki í starfsmannahópi,X1Margbreytileiki í starfsmannahópi
22,X1..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.menningarstarfsemi.á.Íslandi.almennt.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Margbreytileiki.í.hópi.gesta...áhorfenda...neytenda.,X1,Margbreytileiki í hópi gesta áhorfenda neytenda,X1Margbreytileiki í hópi gesta áhorfenda neytenda
23,X2..Hver.eru.helstu.tækifærin.fyrir.menningarstarfsemi.á.Íslandi.almennt.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu......Aðgangur.að.alþjóðlegum.mörkuðum..,X2,Aðgangur að alþjóðlegum mörkuðum,X2Aðgangur að alþjóðlegum mörkuðum
24,X2..Hver.eru.helstu.tækifærin.fyrir.menningarstarfsemi.á.Íslandi.almennt.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu......Fjölgun.ferðamanna.til.Íslands..,X2,Fjölgun ferðamanna til Íslands,X2Fjölgun ferðamanna til Íslands
25,X2..Hver.eru.helstu.tækifærin.fyrir.menningarstarfsemi.á.Íslandi.almennt.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu......Netvæðing.upplýsinga.og.viðskipta..,X2,Netvæðing upplýsinga og viðskipta,X2Netvæðing upplýsinga og viðskipta
26,X2..Hver.eru.helstu.tækifærin.fyrir.menningarstarfsemi.á.Íslandi.almennt.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu......Fjölgun.Íslendinga..,X2,Fjölgun Íslendinga,X2Fjölgun Íslendinga
27,X2..Hver.eru.helstu.tækifærin.fyrir.menningarstarfsemi.á.Íslandi.almennt.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu......Samfélagsmiðlar.,X2,Samfélagsmiðlar,X2Samfélagsmiðlar
28,X2..Hver.eru.helstu.tækifærin.fyrir.menningarstarfsemi.á.Íslandi.almennt.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu......Gervigreind.,X2,Gervigreind,X2Gervigreind
29,X2..Hver.eru.helstu.tækifærin.fyrir.menningarstarfsemi.á.Íslandi.almennt.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu......Samlegðartækifæri...sameining.,X2,Samlegðartækifæri sameining,X2Samlegðartækifæri sameining
30,X2..Hver.eru.helstu.tækifærin.fyrir.menningarstarfsemi.á.Íslandi.almennt.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu......Margbreytileiki.í.hópi.stjórnenda..,X2,Margbreytileiki í hópi stjórnenda,X2Margbreytileiki í hópi stjórnenda
31,X2..Hver.eru.helstu.tækifærin.fyrir.menningarstarfsemi.á.Íslandi.almennt.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu......Margbreytileiki.í.starfsmannahópi..,X2,Margbreytileiki í starfsmannahópi,X2Margbreytileiki í starfsmannahópi
32,X2..Hver.eru.helstu.tækifærin.fyrir.menningarstarfsemi.á.Íslandi.almennt.á.næstu.árum...Merkið.við.einn.valmöguleika.í.hverri.línu......Margbreytileiki.í.hópi.gesta...áhorfenda...neytenda..,X2,Margbreytileiki í hópi gesta áhorfenda neytenda,X2Margbreytileiki í hópi gesta áhorfenda neytenda
33,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Fjármögnun.,X3,Fjármögnun,X3Fjármögnun
34,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Umhverfis..og.loftslagsmál.,X3,Umhverfis og loftslagsmál,X3Umhverfis og loftslagsmál
35,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Jafnréttismál.,X3,Jafnréttismál,X3Jafnréttismál
36,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Niðurskurður.opinberra.aðila..,X3,Niðurskurður opinberra aðila,X3Niðurskurður opinberra aðila
37,X3..Hverjar.eru.helstu.áskoranir.í.umhverfinu.sem.þín.skipulagsheild.stendur.frammi.fyrir.á.næstu.10.árum..Merkið.við.einn.valmöguleika.í.hverri.línu...Aðgengi.innflytjenda..,X3,Aðgengi innflytjenda,X3Aðgengi innflytjenda
